number	organism	concat(propertyValue, year(Request.createDate), '/', filename)	codeApplication	codeSampleFileType
27X2	Zebrafish	/Data01/gnomex/ExperimentData/2011/27R/Fastq/8294X3_110801_SN141_0373_AC03UUABXX_4.txt.gz	CHIPSEQ	fastqRead1
27X3	Zebrafish	/Data01/gnomex/ExperimentData/2011/27R/Fastq/8294X4_110801_SN141_0373_AC03UUABXX_4.txt.gz	CHIPSEQ	fastqRead1
28X1	Mouse	/Data01/gnomex/ExperimentData/2011/28R/SCAR_RNAseq_raw_data/SCAR_pool.ATCACG.s_8_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
28X1	Mouse	/Data01/gnomex/ExperimentData/2011/28R/SCAR_RNAseq_raw_data/SCAR_pool.ATCACG.s_8_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
29X1	Mouse	/Data01/gnomex/ExperimentData/2011/29R/upload_staging/Benoit.ATCACG.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
29X1	Mouse	/Data01/gnomex/ExperimentData/2011/29R/upload_staging/Benoit.ATCACG.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
33X1	Zebrafish	/Data01/gnomex/ExperimentData/2011/33R/FAstq/8331X1_110817_SN141_0375_AB0AEVABXX_3.txt.gz	MRNASEQ	fastqRead1
33X2	Zebrafish	/Data01/gnomex/ExperimentData/2011/33R/FAstq/8331X2_110817_SN141_0375_AB0AEVABXX_3.txt.gz	MRNASEQ	fastqRead1
34X1	Zebrafish	/Data01/gnomex/ExperimentData/2011/34R/Fastq/8330X1_110817_SN141_0375_AB0AEVABXX_2.txt.gz	MRNASEQ	fastqRead1
34X2	Zebrafish	/Data01/gnomex/ExperimentData/2011/34R/Fastq/8330X2_110817_SN141_0375_AB0AEVABXX_2.txt.gz	MRNASEQ	fastqRead1
36X1	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.ACAGTG.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X1	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.ACAGTG.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X2	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.ACTTGA.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X2	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.ACTTGA.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X3	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.ATCACG.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X3	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.ATCACG.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X4	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.CAGATC.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X4	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.CAGATC.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X5	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.CGATGT.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X5	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.CGATGT.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X6	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.GCCAAT.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X6	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.GCCAAT.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X7	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.TGACCA.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X7	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.TGACCA.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X8	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.TTAGGC.s_2_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X8	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming1.TTAGGC.s_2_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X9	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.AATACC.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X9	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.AATACC.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X10	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.AGCTAA.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X10	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.AGCTAA.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X11	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.CTTGTA.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X11	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.CTTGTA.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X12	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.GATCAG.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X12	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.GATCAG.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X13	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.GGCTAC.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X13	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.GGCTAC.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X14	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.GTCGAA.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X14	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.GTCGAA.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X15	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.TAGCTT.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
36X15	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.TAGCTT.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X16	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.TGCAAA.s_1_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
36X16	Mouse	/Data01/gnomex/ExperimentData/2011/36R/bioanalysis/Ming2.TGCAAA.s_1_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X1	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.ACAGTG.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X1	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.ACAGTG.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X2	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.ACTTGA.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X2	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.ACTTGA.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X3	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.ATCACG.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X3	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.ATCACG.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X4	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.CAGATC.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X4	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.CAGATC.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X5	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.CGATGT.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X5	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.CGATGT.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X6	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.GCCAAT.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X6	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.GCCAAT.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X7	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.TGACCA.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
38X7	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.TGACCA.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X8	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.TTAGGC.s_4_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
38X8	Mouse	/Data01/gnomex/ExperimentData/2011/38R/upload_staging/Delaughter.TTAGGC.s_4_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X1	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_MT_1.GTCGAA.s_3_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X1	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_MT_1.GTCGAA.s_3_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X2	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_MT_3.AGCTAA.s_3_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X2	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_MT_3.AGCTAA.s_3_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X3	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_WT_1.GGCTAC.s_3_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X3	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_WT_1.GGCTAC.s_3_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X4	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_WT_2.CTTGTA.s_3_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X4	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/LV_WT_2.CTTGTA.s_3_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X5	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_AT.CAGATC.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X5	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_AT.CAGATC.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X6	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_AV.ACAGTG.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X6	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_AV.ACAGTG.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X7	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_PT.ACTTGA.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X7	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_PT.ACTTGA.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X8	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_PV.GCCAAT.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X8	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/MT_PV.GCCAAT.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X9	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_AT.TTAGGC.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X9	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_AT.TTAGGC.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X10	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_AV.ATCACG.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X10	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_AV.ATCACG.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X11	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_PT.TGACCA.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
39X11	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_PT.TGACCA.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X12	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_PV.CGATGT.s_merge_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
39X12	Mouse	/Data01/gnomex/ExperimentData/2011/39R/bioanalysis/WT_PV.CGATGT.s_merge_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X1	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/30V_post.TGACCA.s_6_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X1	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/30V_post.TGACCA.s_6_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X2	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/30V_pre.TTAGGC.s_6_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X2	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/30V_pre.TTAGGC.s_6_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X3	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/32V_post.GCCAAT.s_6_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X3	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/32V_post.GCCAAT.s_6_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X4	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/32V_pre.ACAGTG.s_6_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X4	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/32V_pre.ACAGTG.s_6_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X5	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/8V_post.CGATGT.s_6_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X5	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/8V_post.CGATGT.s_6_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X6	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/8V_pre.ATCACG.s_6_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X6	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/8V_pre.ATCACG.s_6_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X7	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_AV.ATCACG.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X7	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_AV.ATCACG.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X8	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_MV.CGATGT.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X8	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_MV.CGATGT.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X9	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_PV.TTAGGC.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X9	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_PV.TTAGGC.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X10	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_TV.TGACCA.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X10	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T3_TV.TGACCA.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X11	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_AV.ACAGTG.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X11	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_AV.ACAGTG.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X12	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_MV.GCCAAT.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X12	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_MV.GCCAAT.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X13	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_PV.CAGATC.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X13	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_PV.CAGATC.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X14	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_TV.ACTTGA.s_5_2_FFPF_sequence.txt.gz	MRNASEQ	fastqRead2
40X14	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/T4_TV.ACTTGA.s_5_1_FFPF_sequence.txt.gz	MRNASEQ	fastqRead1
40X15	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/g134_2.txt.gz	MRNASEQ	fastqRead2
40X15	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/g134_1.txt.gz	MRNASEQ	fastqRead1
40X16	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/g467_1.txt.gz	MRNASEQ	fastqRead1
40X16	Sheep	/Data01/gnomex/ExperimentData/2011/40R/bioanalysis/g467_2.txt.gz	MRNASEQ	fastqRead2
44X1	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me1_MES_Rep_1_JW-H19c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X2	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me3_MES_Rep_1_JW-H20c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X3	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K27ac_MES_Rep_1_JW-H22c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X4	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K36me3_MES_Rep_1_JW-H23c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X5	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3_MES_Rep_1_JW-H25c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X6	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/WCE_MES_Rep_1_JW-H26c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X7	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me1_ESC_Rep_1_JW-H11c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X8	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me3_ESC_Rep_1_JW-H12c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X9	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K27ac_ESC_Rep_1_JW-H14c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X10	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K36me3_ESC_Rep_1_JW-H15c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X11	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3_ESC_Rep_1_JW-H17c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X12	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/WCE_ESC_Rep_1_JW-H18c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X13	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me1_CP_Rep_1_JW-H27c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X14	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me3_CP_Rep_1_JW-H28c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X15	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K27ac_CP_Rep_1_JW-H30c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X16	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K36me3_CP_Rep_1_JW-H31c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X17	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3_CP_Rep_1_JW-H33c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X18	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/WCE_CP_Rep_1_JW-H34c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X19	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me1_CM_Rep_1_JW-H35c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X20	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me3_CM_Rep_1_JW-H36c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X21	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K27ac_CM_Rep_1_JW-H38c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X22	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K36me3_CM_Rep_1_JW-H39c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X23	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/WCE_CM_Rep_1_JW-H42c_sequence.txt.gz	CHIPSEQ	fastqRead1
44X24	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me1_ESC_Rep_2_JW-H43_sequence.txt.gz	CHIPSEQ	fastqRead1
44X25	Mouse	/Data01/gnomex/ExperimentData/2011/44R/sequence.txt/H3K4me3_ESC_Rep_2_JW-H44_sequence.txt.gz	CHIPSEQ	fastqRead1
